source_database,sha256,size_bytes,wind_sensor_name,sensor_match_basis,source_rows,matched_source_rows,excluded_source_rows,first_timestamp_raw,last_timestamp_raw,units_table,log_interval_table
portable/raw/WindLog_laptop/TreeTalk.s3db,5f66454d7f3a07fffb2f71f0d12566814019b46b1162b23ca915d16346a833ed,1418240,TreeTalk,exact_case_insensitive_filename,19017,18971,46,2008-01-01 00:01:00,2024-02-05 16:09:00,[[2]],[[1]]
portable/raw/WindLog_laptop/VoltRush.s3db,c3e61d1e7707bca8401ceb2626852f8f48d4137aade8657d23c8818ecfa89fdd,10160128,,not_a_study_sensor_filename,133654,0,133654,2024-10-14 13:06:00,2025-01-15 10:19:00,[[2]],[[1]]
portable/raw/WindLog_laptop/WindFury.s3db,10da65c9a025816e80e6c3f7500bbcd407e74292e0db238e7fea562b8758248e,18159616,,not_a_study_sensor_filename,238716,0,238716,2008-01-01 00:01:00,2024-04-09 12:00:00,[[2]],[[1]]
portable/raw/WindLog_laptop/WingSpan.s3db,545d17e2fd1135a32b3402d2dfd2ea8ea935a2381c6bbc04d2ff206943f5b3d0,17864704,,not_a_study_sensor_filename,233353,0,233353,2008-01-01 00:01:00,2024-04-09 11:44:00,[[2]],[[1]]
portable/raw/WindLog_laptop/WoolCoat.s3db,bfde31f40a307adccdf6a2ef0ce0d1d324552a549f99bcfe4f42f58623d3865b,14336,,not_a_study_sensor_filename,113,0,113,2008-01-01 00:01:00,2023-09-22 13:10:00,[[2]],[[1]]
portable/raw/WindLog_laptop/ZenGlobe.s3db,4021d3dcb86d85ad0ded22fd69dcea41fbea2d6e05ada1ec607816bade4d3c63,4307968,,not_a_study_sensor_filename,56142,0,56142,2023-08-30 15:40:00,2023-11-04 17:12:00,[[2]],[[1]]
portable/raw/WindLog_laptop/ZipTango.s3db,ce096e471c1e16bdd4b0798891ea523d1e13ad331a3eea1d14b2c7c141bb889c,11264,,not_a_study_sensor_filename,75,0,75,2023-08-30 16:10:00,2023-09-22 13:04:00,[[2]],[[1]]
portable/raw/WindLog_laptop/default.s3db,6ca9989f83cdc259fc572f8410cc23bd1d8f83e0fa83fe14951970d2caf29695,10240,,not_a_study_sensor_filename,49,0,49,2023-12-02 14:15:00,2024-11-26 21:15:00,[[0]],[[15]]
portable/raw/updated_wind/BeeSwarm.s3db,aba94f2d0093a2a904bad3ef49c02f0d0441de1bfba873e78fa055cd41daec3b,19206144,,not_a_study_sensor_filename,251010,0,251010,2023-10-10 22:17:00,2024-04-09 11:30:00,[[2]],[[1]]
portable/raw/updated_wind/BlueLake.s3db,fc89264d755d916d0b604e8739cdaf08013668020417e4304aceed74b8e0a3c8,5539840,BlueLake,exact_case_insensitive_filename,73182,72967,215,2008-01-01 00:01:00,2024-07-09 10:17:00,[[2]],[[1]]
portable/raw/updated_wind/DiveDeep.s3db,832297b3761a984a4d466475004848a653d41b39341c296cd6e38e3abfad151e,17988608,,not_a_study_sensor_filename,235363,0,235363,2008-01-01 00:01:00,2024-04-09 11:53:00,[[2]],[[1]]
portable/raw/updated_wind/DotSpace.s3db,8defc4703f9d6706d29ca20c034f19e5f838c75e90fed8b47504dbd7a5c39d17,10628096,,not_a_study_sensor_filename,138557,0,138557,2008-01-01 00:01:00,2024-04-09 11:54:00,[[2]],[[1]]
