season,deployment_id,camera_name,image_filename,timestamp_recorded,temperature_c
2023-2024,SC9,WASP,SC9_20240124042201.JPG,2024-01-24T04:22:01,12.0
2023-2024,SC9,WASP,SC9_20240124043201.JPG,2024-01-24T04:32:01,12.0
2023-2024,SC9,WASP,SC9_20240124044201.JPG,2024-01-24T04:42:01,12.0
2023-2024,SC9,WASP,SC9_20240124045201.JPG,2024-01-24T04:52:01,12.0
2023-2024,SC9,WASP,SC9_20240124050201.JPG,2024-01-24T05:02:01,12.0
2023-2024,SC9,WASP,SC9_20240124051201.JPG,2024-01-24T05:12:01,12.0
2023-2024,SC9,WASP,SC9_20240124052201.JPG,2024-01-24T05:22:01,12.0
2023-2024,SC9,WASP,SC9_20240124053201.JPG,2024-01-24T05:32:01,12.0
2023-2024,SC9,WASP,SC9_20240124054201.JPG,2024-01-24T05:42:01,12.0
2023-2024,SC9,WASP,SC9_20240124055201.JPG,2024-01-24T05:52:01,12.0
2023-2024,SC9,WASP,SC9_20240124060201.JPG,2024-01-24T06:02:01,11.0
2023-2024,SC9,WASP,SC9_20240124061201.JPG,2024-01-24T06:12:01,12.0
2023-2024,SC9,WASP,SC9_20240124062201.JPG,2024-01-24T06:22:01,11.0
2023-2024,SC9,WASP,SC9_20240124063201.JPG,2024-01-24T06:32:01,11.0
2023-2024,SC9,WASP,SC9_20240124064201.JPG,2024-01-24T06:42:01,11.0
2023-2024,SC9,WASP,SC9_20240124065201.JPG,2024-01-24T06:52:01,11.0
2023-2024,SC9,WASP,SC9_20240124070201.JPG,2024-01-24T07:02:01,12.0
2023-2024,SC9,WASP,SC9_20240124071201.JPG,2024-01-24T07:12:01,11.0
2023-2024,SC9,WASP,SC9_20240124072201.JPG,2024-01-24T07:22:01,11.0
2023-2024,SC9,WASP,SC9_20240124073201.JPG,2024-01-24T07:32:01,12.0
2023-2024,SC9,WASP,SC9_20240124074201.JPG,2024-01-24T07:42:01,12.0
2023-2024,SC9,WASP,SC9_20240124075201.JPG,2024-01-24T07:52:01,12.0
2023-2024,SC9,WASP,SC9_20240124080201.JPG,2024-01-24T08:02:01,12.0
2023-2024,SC9,WASP,SC9_20240124081201.JPG,2024-01-24T08:12:01,12.0
2023-2024,SC9,WASP,SC9_20240124082201.JPG,2024-01-24T08:22:01,12.0
2023-2024,SC9,WASP,SC9_20240124083201.JPG,2024-01-24T08:32:01,12.0
2023-2024,SC9,WASP,SC9_20240124084201.JPG,2024-01-24T08:42:01,12.0
2023-2024,SC9,WASP,SC9_20240124085201.JPG,2024-01-24T08:52:01,13.0
2023-2024,SC9,WASP,SC9_20240124090201.JPG,2024-01-24T09:02:01,13.0
2023-2024,SC9,WASP,SC9_20240124091201.JPG,2024-01-24T09:12:01,13.0
2023-2024,SC9,WASP,SC9_20240124092201.JPG,2024-01-24T09:22:01,13.0
2023-2024,SC9,WASP,SC9_20240124093201.JPG,2024-01-24T09:32:01,13.0
2023-2024,SC9,WASP,SC9_20240124094201.JPG,2024-01-24T09:42:01,13.0
2023-2024,SC9,WASP,SC9_20240124095201.JPG,2024-01-24T09:52:01,13.0
2023-2024,SC9,WASP,SC9_20240124100201.JPG,2024-01-24T10:02:01,13.0
2023-2024,SC9,WASP,SC9_20240124101201.JPG,2024-01-24T10:12:01,13.0
2023-2024,SC9,WASP,SC9_20240124102201.JPG,2024-01-24T10:22:01,14.0
