deployment_id,camera_name,image_filename,timestamp_recorded,primary_observer,record_user_id,classification_confirmed,is_night,cells_0,cells_1_9,cells_10_99,cells_100_999,sun_exposed_cells_1_9,sun_exposed_cells_10_99,sun_exposed_cells_100_999,butterfly_index,sun_exposed_butterfly_index
SC1,EM03,SC1_20231117180001.JPG,2023-11-17T18:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117180501.JPG,2023-11-17T18:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117181001.JPG,2023-11-17T18:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117181501.JPG,2023-11-17T18:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117182001.JPG,2023-11-17T18:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117182501.JPG,2023-11-17T18:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117183001.JPG,2023-11-17T18:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117183501.JPG,2023-11-17T18:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117184001.JPG,2023-11-17T18:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117184501.JPG,2023-11-17T18:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117185001.JPG,2023-11-17T18:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117185501.JPG,2023-11-17T18:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117190001.JPG,2023-11-17T19:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117190501.JPG,2023-11-17T19:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117191001.JPG,2023-11-17T19:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117191501.JPG,2023-11-17T19:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117192001.JPG,2023-11-17T19:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117192501.JPG,2023-11-17T19:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117193001.JPG,2023-11-17T19:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117193501.JPG,2023-11-17T19:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117194001.JPG,2023-11-17T19:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117194501.JPG,2023-11-17T19:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117195001.JPG,2023-11-17T19:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117195501.JPG,2023-11-17T19:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117200001.JPG,2023-11-17T20:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117200501.JPG,2023-11-17T20:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117201001.JPG,2023-11-17T20:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117201501.JPG,2023-11-17T20:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117202001.JPG,2023-11-17T20:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117202501.JPG,2023-11-17T20:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117203001.JPG,2023-11-17T20:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117203501.JPG,2023-11-17T20:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117204001.JPG,2023-11-17T20:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117204501.JPG,2023-11-17T20:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117205001.JPG,2023-11-17T20:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117205501.JPG,2023-11-17T20:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117210001.JPG,2023-11-17T21:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117210501.JPG,2023-11-17T21:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117211001.JPG,2023-11-17T21:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117211501.JPG,2023-11-17T21:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117212001.JPG,2023-11-17T21:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117212501.JPG,2023-11-17T21:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117213001.JPG,2023-11-17T21:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117213501.JPG,2023-11-17T21:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117214001.JPG,2023-11-17T21:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117214501.JPG,2023-11-17T21:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117215001.JPG,2023-11-17T21:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117215501.JPG,2023-11-17T21:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117220001.JPG,2023-11-17T22:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117220501.JPG,2023-11-17T22:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117221001.JPG,2023-11-17T22:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117221501.JPG,2023-11-17T22:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117222001.JPG,2023-11-17T22:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117222501.JPG,2023-11-17T22:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
