source_relative_path,original_timestamp_recorded,timestamp_recorded,image_filename
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0057.JPG,2022-09-14T02:16:04,2023-12-16T01:46:51.260,TGR1_20231216014651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0058.JPG,2022-09-14T02:26:04,2023-12-16T01:56:51.325,TGR1_20231216015651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0059.JPG,2022-09-14T02:36:04,2023-12-16T02:06:51.390,TGR1_20231216020651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0060.JPG,2022-09-14T02:46:04,2023-12-16T02:16:51.455,TGR1_20231216021651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0061.JPG,2022-09-14T02:56:04,2023-12-16T02:26:51.520,TGR1_20231216022651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0062.JPG,2022-09-14T03:06:04,2023-12-16T02:36:51.585,TGR1_20231216023651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0063.JPG,2022-09-14T03:16:04,2023-12-16T02:46:51.651,TGR1_20231216024651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0064.JPG,2022-09-14T03:26:04,2023-12-16T02:56:51.716,TGR1_20231216025651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0065.JPG,2022-09-14T03:36:04,2023-12-16T03:06:51.781,TGR1_20231216030651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0066.JPG,2022-09-14T03:46:04,2023-12-16T03:16:51.846,TGR1_20231216031651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0067.JPG,2022-09-14T03:56:04,2023-12-16T03:26:51.911,TGR1_20231216032651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0068.JPG,2022-09-14T04:06:04,2023-12-16T03:36:51.976,TGR1_20231216033651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0069.JPG,2022-09-14T04:16:04,2023-12-16T03:46:52.042,TGR1_20231216034652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0070.JPG,2022-09-14T04:26:04,2023-12-16T03:56:52.107,TGR1_20231216035652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0071.JPG,2022-09-14T04:36:04,2023-12-16T04:06:52.172,TGR1_20231216040652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0072.JPG,2022-09-14T04:46:04,2023-12-16T04:16:52.237,TGR1_20231216041652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0073.JPG,2022-09-14T04:56:04,2023-12-16T04:26:52.302,TGR1_20231216042652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0074.JPG,2022-09-14T05:06:04,2023-12-16T04:36:52.367,TGR1_20231216043652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0075.JPG,2022-09-14T05:16:04,2023-12-16T04:46:52.433,TGR1_20231216044652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0076.JPG,2022-09-14T05:26:04,2023-12-16T04:56:52.498,TGR1_20231216045652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0077.JPG,2022-09-14T05:36:04,2023-12-16T05:06:52.563,TGR1_20231216050652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0078.JPG,2022-09-14T05:46:04,2023-12-16T05:16:52.628,TGR1_20231216051652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0079.JPG,2022-09-14T05:56:04,2023-12-16T05:26:52.693,TGR1_20231216052652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0080.JPG,2022-09-14T06:06:04,2023-12-16T05:36:52.758,TGR1_20231216053652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0081.JPG,2022-09-14T06:16:04,2023-12-16T05:46:52.824,TGR1_20231216054652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0082.JPG,2022-09-14T06:26:04,2023-12-16T05:56:52.889,TGR1_20231216055652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0083.JPG,2022-09-14T06:36:04,2023-12-16T06:06:52.954,TGR1_20231216060652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0084.JPG,2022-09-14T06:46:04,2023-12-16T06:16:53.019,TGR1_20231216061653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0085.JPG,2022-09-14T06:56:04,2023-12-16T06:26:53.084,TGR1_20231216062653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0086.JPG,2022-09-14T07:06:04,2023-12-16T06:36:53.149,TGR1_20231216063653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0087.JPG,2022-09-14T07:16:04,2023-12-16T06:46:53.215,TGR1_20231216064653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0088.JPG,2022-09-14T07:26:04,2023-12-16T06:56:53.280,TGR1_20231216065653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0089.JPG,2022-09-14T07:36:04,2023-12-16T07:06:53.345,TGR1_20231216070653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0090.JPG,2022-09-14T07:46:03,2023-12-16T07:16:52.410,TGR1_20231216071652.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0091.JPG,2022-09-14T07:56:04,2023-12-16T07:26:53.475,TGR1_20231216072653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0092.JPG,2022-09-14T08:06:04,2023-12-16T07:36:53.540,TGR1_20231216073653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0093.JPG,2022-09-14T08:16:04,2023-12-16T07:46:53.606,TGR1_20231216074653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0094.JPG,2022-09-14T08:26:04,2023-12-16T07:56:53.671,TGR1_20231216075653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0095.JPG,2022-09-14T08:36:04,2023-12-16T08:06:53.736,TGR1_20231216080653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0096.JPG,2022-09-14T08:46:04,2023-12-16T08:16:53.801,TGR1_20231216081653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0097.JPG,2022-09-14T08:56:04,2023-12-16T08:26:53.866,TGR1_20231216082653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0098.JPG,2022-09-14T09:06:04,2023-12-16T08:36:53.931,TGR1_20231216083653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0099.JPG,2022-09-14T09:16:04,2023-12-16T08:46:53.997,TGR1_20231216084653.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0100.JPG,2022-09-14T09:26:04,2023-12-16T08:56:54.062,TGR1_20231216085654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0101.JPG,2022-09-14T09:36:04,2023-12-16T09:06:54.127,TGR1_20231216090654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0102.JPG,2022-09-14T09:46:04,2023-12-16T09:16:54.192,TGR1_20231216091654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0103.JPG,2022-09-14T09:56:04,2023-12-16T09:26:54.257,TGR1_20231216092654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0104.JPG,2022-09-14T10:06:04,2023-12-16T09:36:54.322,TGR1_20231216093654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0105.JPG,2022-09-14T10:16:04,2023-12-16T09:46:54.388,TGR1_20231216094654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0106.JPG,2022-09-14T10:26:04,2023-12-16T09:56:54.453,TGR1_20231216095654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0107.JPG,2022-09-14T10:36:04,2023-12-16T10:06:54.518,TGR1_20231216100654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0108.JPG,2022-09-14T10:46:04,2023-12-16T10:16:54.583,TGR1_20231216101654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0109.JPG,2022-09-14T10:56:04,2023-12-16T10:26:54.648,TGR1_20231216102654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0110.JPG,2022-09-14T11:06:04,2023-12-16T10:36:54.713,TGR1_20231216103654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0111.JPG,2022-09-14T11:16:04,2023-12-16T10:46:54.779,TGR1_20231216104654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0112.JPG,2022-09-14T11:26:04,2023-12-16T10:56:54.844,TGR1_20231216105654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0113.JPG,2022-09-14T11:36:04,2023-12-16T11:06:54.909,TGR1_20231216110654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0114.JPG,2022-09-14T11:46:04,2023-12-16T11:16:54.974,TGR1_20231216111654.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0115.JPG,2022-09-14T11:56:04,2023-12-16T11:26:55.039,TGR1_20231216112655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0116.JPG,2022-09-14T12:06:04,2023-12-16T11:36:55.104,TGR1_20231216113655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0117.JPG,2022-09-14T12:16:04,2023-12-16T11:46:55.170,TGR1_20231216114655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0118.JPG,2022-09-14T12:26:04,2023-12-16T11:56:55.235,TGR1_20231216115655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0119.JPG,2022-09-14T12:36:04,2023-12-16T12:06:55.300,TGR1_20231216120655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0120.JPG,2022-09-14T12:46:04,2023-12-16T12:16:55.365,TGR1_20231216121655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0121.JPG,2022-09-14T12:56:04,2023-12-16T12:26:55.430,TGR1_20231216122655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0122.JPG,2022-09-14T13:06:04,2023-12-16T12:36:55.495,TGR1_20231216123655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0123.JPG,2022-09-14T13:16:04,2023-12-16T12:46:55.560,TGR1_20231216124655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0124.JPG,2022-09-14T13:26:04,2023-12-16T12:56:55.626,TGR1_20231216125655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0125.JPG,2022-09-14T13:36:04,2023-12-16T13:06:55.691,TGR1_20231216130655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0126.JPG,2022-09-14T13:46:04,2023-12-16T13:16:55.756,TGR1_20231216131655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0127.JPG,2022-09-14T13:56:04,2023-12-16T13:26:55.821,TGR1_20231216132655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0128.JPG,2022-09-14T14:06:04,2023-12-16T13:36:55.886,TGR1_20231216133655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0129.JPG,2022-09-14T14:16:04,2023-12-16T13:46:55.951,TGR1_20231216134655.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0130.JPG,2022-09-14T14:26:04,2023-12-16T13:56:56.017,TGR1_20231216135656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0131.JPG,2022-09-14T14:36:04,2023-12-16T14:06:56.082,TGR1_20231216140656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0132.JPG,2022-09-14T14:46:04,2023-12-16T14:16:56.147,TGR1_20231216141656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0133.JPG,2022-09-14T14:56:04,2023-12-16T14:26:56.212,TGR1_20231216142656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0134.JPG,2022-09-14T15:06:04,2023-12-16T14:36:56.277,TGR1_20231216143656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0135.JPG,2022-09-14T15:16:04,2023-12-16T14:46:56.342,TGR1_20231216144656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0136.JPG,2022-09-14T15:26:04,2023-12-16T14:56:56.408,TGR1_20231216145656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0137.JPG,2022-09-14T15:36:04,2023-12-16T15:06:56.473,TGR1_20231216150656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0138.JPG,2022-09-14T15:46:04,2023-12-16T15:16:56.538,TGR1_20231216151656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0139.JPG,2022-09-14T15:56:04,2023-12-16T15:26:56.603,TGR1_20231216152656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0140.JPG,2022-09-14T16:06:04,2023-12-16T15:36:56.668,TGR1_20231216153656.JPG
