max_gust,temperature_avg,butterflies_direct_sun_t_lag,total_butterflies_t_lag,fit,supported,temperature_label,fit_supported
1.1996722689075618,10,0,37,0.07239458972153806,TRUE,10 °C,0.07239458972153806
1.2518319327731082,10,0,37,0.0703345296661283,TRUE,10 °C,0.0703345296661283
1.3039915966386544,10,0,37,0.06827446961071855,TRUE,10 °C,0.06827446961071855
1.3561512605042005,10,0,37,0.06621440955530879,TRUE,10 °C,0.06621440955530879
1.4083109243697467,10,0,37,0.06415434949989904,TRUE,10 °C,0.06415434949989904
1.4604705882352929,10,0,37,0.06209428944448923,TRUE,10 °C,0.06209428944448923
1.512630252100839,10,0,37,0.060034229389079465,TRUE,10 °C,0.060034229389079465
1.5647899159663852,10,0,37,0.057974169333669716,TRUE,10 °C,0.057974169333669716
1.6169495798319313,10,0,37,0.05591410927825996,TRUE,10 °C,0.05591410927825996
1.6691092436974775,10,0,37,0.05385404922285015,TRUE,10 °C,0.05385404922285015
1.7212689075630236,10,0,37,0.051793989167440393,TRUE,10 °C,0.051793989167440393
1.7734285714285698,10,0,37,0.04973392911203064,TRUE,10 °C,0.04973392911203064
1.825588235294116,10,0,37,0.04767386905662088,TRUE,10 °C,0.04767386905662088
1.8777478991596621,10,0,37,0.04561380900121107,TRUE,10 °C,0.04561380900121107
1.9299075630252083,10,0,37,0.04355374894580137,TRUE,10 °C,0.04355374894580137
1.9820672268907544,10,0,37,0.04149368889039157,TRUE,10 °C,0.04149368889039157
2.0342268907563006,10,0,37,0.039433628834981804,TRUE,10 °C,0.039433628834981804
2.0863865546218467,10,0,37,0.037373568779572,TRUE,10 °C,0.037373568779572
2.138546218487393,10,0,37,0.03531350872416229,TRUE,10 °C,0.03531350872416229
2.190705882352939,10,0,37,0.03325344866875249,TRUE,10 °C,0.03325344866875249
2.242865546218485,10,0,37,0.03119338861334273,TRUE,10 °C,0.03119338861334273
2.2950252100840314,10,0,37,0.029133328557932922,TRUE,10 °C,0.029133328557932922
2.3471848739495775,10,0,37,0.02707326850252322,TRUE,10 °C,0.02707326850252322
2.3993445378151237,10,0,37,0.02501320844711341,TRUE,10 °C,0.02501320844711341
2.45150420168067,10,0,37,0.022953148391703652,TRUE,10 °C,0.022953148391703652
2.5036638655462164,10,0,37,0.020893088336293893,TRUE,10 °C,0.020893088336293893
2.5558235294117626,10,0,37,0.018833028280884134,TRUE,10 °C,0.018833028280884134
2.6079831932773088,10,0,37,0.016772968225474374,TRUE,10 °C,0.016772968225474374
2.660142857142855,10,0,37,0.014712908170064569,TRUE,10 °C,0.014712908170064569
2.712302521008401,10,0,37,0.012652848114654763,TRUE,10 °C,0.012652848114654763
2.7644621848739472,10,0,37,0.010592788059245004,TRUE,10 °C,0.010592788059245004
2.8166218487394934,10,0,37,0.008532728003835244,TRUE,10 °C,0.008532728003835244
2.8687815126050396,10,0,37,0.006472667948425438,TRUE,10 °C,0.006472667948425438
2.9209411764705857,10,0,37,0.004412607893015742,TRUE,10 °C,0.004412607893015742
2.973100840336132,10,0,37,0.0023525478376059832,TRUE,10 °C,0.0023525478376059832
3.025260504201678,10,0,37,2.9248778219622415e-4,TRUE,10 °C,2.9248778219622415e-4
3.077420168067224,10,0,37,-0.0017675722732135826,TRUE,10 °C,-0.0017675722732135826
3.1295798319327703,10,0,37,-0.0038276323286233894,TRUE,10 °C,-0.0038276323286233894
3.1817394957983165,10,0,37,-0.005887692384033148,TRUE,10 °C,-0.005887692384033148
3.2338991596638627,10,0,37,-0.007947752439442908,TRUE,10 °C,-0.007947752439442908
3.286058823529409,10,0,37,-0.010007812494852603,TRUE,10 °C,-0.010007812494852603
3.338218487394955,10,0,37,-0.012067872550262409,TRUE,10 °C,-0.012067872550262409
3.390378151260501,10,0,37,-0.014127932605672217,TRUE,10 °C,-0.014127932605672217
3.4425378151260473,10,0,37,-0.016187992661081927,TRUE,10 °C,-0.016187992661081927
3.4946974789915934,10,0,37,-0.018248052716491735,TRUE,10 °C,-0.018248052716491735
3.5468571428571396,10,0,37,-0.020308112771901542,TRUE,10 °C,-0.020308112771901542
3.5990168067226858,10,0,37,-0.022368172827311253,TRUE,10 °C,-0.022368172827311253
3.651176470588232,10,0,37,-0.02442823288272106,TRUE,10 °C,-0.02442823288272106
3.703336134453778,10,0,37,-0.026488292938130754,TRUE,10 °C,-0.026488292938130754
