temperature_c,butterflies_in_direct_sun,wind_effect_per_1_ms,standard_error,denominator_df,t_value,p_value,conf_low,conf_high,temperature_label
14,16.01675977653631,0.023906809085620484,0.06026809033400999,1771,0.39667440851580443,0.6916553664824705,-0.09429726132567966,0.14211087949692058,14.0 °C
14,16.35754189944134,0.024114888948780777,0.0612905176164646,1771,0.3934521992404049,0.6940328824296331,-0.09609447258450302,0.14432425048206454,14.0 °C
14,16.698324022346366,0.024322968811941514,0.06232051311862272,1771,0.3902883271459022,0.6963702903268527,-0.09790652742588785,0.14655246504977085,14.0 °C
14,17.039106145251395,0.02453104867510203,0.06335770773576965,1771,0.38718333651538683,0.6986670071358896,-0.09973270192313591,0.14879479927333994,14.0 °C
14,17.379888268156424,0.024739128538262767,0.06440175364213657,1771,0.38413749842483375,0.7009226553937109,-0.10157231388403787,0.15105057096056337,14.0 °C
14,17.72067039106145,0.024947208401423504,0.06545232297880843,1771,0.38115084791567577,0.7031370368320866,-0.10342472027746319,0.15331913708031017,14.0 °C
14,18.06145251396648,0.025155288264583797,0.06650910661669207,1771,0.37822321700334594,0.7053101088116523,-0.10528931480716341,0.15559989133633098,14.0 °C
14,18.40223463687151,0.02536336812774498,0.06757181299230718,1771,0.3753542639241086,0.7074419633148578,-0.10716552562840209,0.157892261883892,14.0 °C
14,18.743016759776534,0.02557144799090527,0.06864016701372883,1771,0.3725434989951392,0.7095328082572239,-0.10905281320217974,0.16019570918399026,14.0 °C
14,19.083798882681563,0.02577952785406623,0.06971390903375317,1771,0.3697903074346991,0.711582950892309,-0.11095066828129299,0.16250972398942543,14.0 °C
14,19.424581005586592,0.025987607717226746,0.07079279388715141,1771,0.36709396946040557,0.71359278310274,-0.11285861002210232,0.16483382545655578,14.0 °C
14,19.765363128491618,0.02619568758038726,0.07187658998881001,1771,0.364453677956418,0.7155627683858554,-0.11477618421570643,0.16716755937648092,14.0 °C
14,20.106145251396647,0.026403767443548,0.07296507848949939,1771,0.36186855397336193,0.7174934303589979,-0.11670296163214944,0.1695104965192454,14.0 °C
14,20.446927374301673,0.026611847306708514,0.07405805248605053,1771,0.35933766029995295,0.719385342624814,-0.11863853647133721,0.1718622310847542,14.0 °C
14,20.787709497206702,0.026819927169869473,0.07515531628276814,1771,0.35686001332175665,0.7212391198516435,-0.12058252491444191,0.17422237925418083,14.0 °C
14,21.12849162011173,0.027028007033029766,0.07625668470099979,1771,0.3544345933606448,0.7230554099379396,-0.12253456376975994,0.1765905778358194,14.0 °C
14,21.469273743016757,0.027236086896190725,0.07736198243388696,1771,0.35206035366876104,0.7248348871422554,-0.12449430920717794,0.17896648299955936,14.0 °C
14,21.810055865921786,0.02744416675935102,0.07847104344344372,1771,0.34973622823214784,0.7265782460724108,-0.12646143557566583,0.1813497690943678,14.0 °C
14,22.150837988826815,0.027652246622511978,0.0795837103972489,1771,0.3474611385229895,0.7282861964379552,-0.12843563429845328,0.1837401275434772,14.0 °C
14,22.49162011173184,0.027860326485672715,0.08069983414215895,1771,0.34523399932389714,0.7299594584802787,-0.13041661284082529,0.1861372658121707,14.0 °C
14,22.83240223463687,0.028068406348833008,0.08181927321260764,1771,0.34305372373446985,0.7315987590034079,-0.13240409374574538,0.18854090644341137,14.0 °C
14,23.1731843575419,0.028276486211993745,0.08294189337117382,1771,0.3409192274578717,0.7332048279368709,-0.13439781373276868,0.19095078615675615,14.0 °C
14,23.513966480446925,0.028484566075154483,0.0840675671792606,1771,0.3388294324542033,0.7347783953693665,-0.13639752285601556,0.1933666550063245,14.0 °C
14,23.854748603351954,0.02869264593831522,0.085196173595839,1771,0.3367832700378057,0.7363201889984644,-0.13840298371718396,0.19578827559381437,14.0 °C
14,24.19553072625698,0.028900725801475957,0.08632759760235231,1771,0.3347796834866218,0.7378309319477184,-0.1404139707298732,0.19821542233282508,14.0 °C
14,24.53631284916201,0.02910880566463625,0.08746172985199589,1771,0.3328176302240377,0.7393113409078094,-0.14243026943171522,0.2006478807609877,14.0 °C
14,24.877094972067038,0.02931688552779743,0.08859846634170268,1771,0.330896083626655,0.740762124563159,-0.1444516758410363,0.20308544689663113,14.0 °C
14,25.217877094972064,0.029524965390957725,0.0897377081052815,1771,0.3290140345050782,0.7421839822698428,-0.14647799585501253,0.20552792663692795,14.0 °C
14,25.558659217877093,0.029733045254118018,0.09087936092625244,1771,0.32717049229963274,0.7435776029542275,-0.14850904468644696,0.20797513519468294,14.0 °C
14,25.899441340782122,0.0299411251172792,0.09202333506903514,1771,0.325364486027567,0.744943664205524,-0.1505446463365506,0.21042689657110894,14.0 °C
14,26.240223463687148,0.030149204980439936,0.09316954502722591,1771,0.32359506501432167,0.7462828315382275,-0.1525846331012395,0.21288304306211933,14.0 °C
14,26.581005586592177,0.03035728484360023,0.09431790928779717,1771,0.3218612994375168,0.7475957578031959,-0.15462884510865446,0.21534341479585487,14.0 °C
14,26.921787709497206,0.030565364706760967,0.09546835011013095,1771,0.32016228070874997,0.748883082728657,-0.15667712988577895,0.21780785929930085,14.0 °C
14,27.26256983240223,0.030773444569922148,0.09662079331887301,1771,0.3184971217154263,0.7501454325744845,-0.15872934195216476,0.220276231092009,14.0 °C
14,27.60335195530726,0.030981524433081997,0.09777516810967268,1771,0.3168649569421406,0.7513834198850137,-0.16078534243892953,0.22274839130509347,14.0 °C
14,27.94413407821229,0.031189604296242734,0.09893140686692814,1771,0.3152649424888461,0.7525976433273279,-0.16284499873129407,0.22522420732377949,14.0 °C
14,28.284916201117316,0.03139768415940347,0.10008944499273137,1771,0.31369625600065637,0.7537886876036806,-0.16490818413309843,0.22770355245190532,14.0 °C
